1344913560,2155892 ,TCQR-BA.933 ,37262,Pass ,
1344913680,2155897 ,TCQR-BA.933 ,35394,Pass ,
1344915660,2155957 ,TCQR-BA.935 ,37262,Pass ,
1344915720,2155960 ,TCQR-BA.935 ,35394,Pass ,
1345521660,2169704 ,TCQR-BA.936 ,37262,Pass ,
1350028200,2169709 ,TCQR-BA.936 ,35394,Pass ,
1345532340,2169936 ,TCQR-BA.934 ,37262,Pass ,
1345532400,2169938 ,TCQR-BA.934 ,35394,Pass ,
1345597380,2171635 ,TCQR-BA.934 ,32901,Pass ,
1345597380,2171637 ,TCQR-BA.934 ,38097,Pass ,
1345597440,2171639 ,TCQR-BA.936 ,32901,Pass ,
1345597440,2171641 ,TCQR-BA.936 ,38097,Pass ,
1345779120,2177172 ,TCQR-BA.934 ,38099,Pass ,
1345779120,2177174 ,TCQR-BA.936 ,38099,Pass ,
1346029560,2179444 ,TCQR-BA.933 ,32901,Pass ,
1346029620,2179446 ,TCQR-BA.935 ,32901,Pass ,
1346047380,2180034 ,TCQR-BA.934 ,35754,Pass ,
1346048460,2180065 ,TCQR-BA.933 ,38097,Pass ,
1346048520,2180066 ,TCQR-BA.935 ,38097,Pass ,
1346049000,2180077 ,TCQR-BA.936 ,35754,Pass ,
1346227200,2185906 ,TCQR-BA.935 ,38099,Pass ,
1346229600,2185999 ,TCQR-BA.933 ,38099,Pass ,
1347007740,2205231 ,TCQR-BA.934 ,29140,Pass ,
1347436980,2205264 ,TCQR-BA.936 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=2205264
1347422880,2213760 ,TCQR-BA.935 ,35754,Pass ,
1347593340,2219569 ,TCQR-BA.933 ,35754,Pass ,
1348211820,2236809 ,TCQR-BA.934 ,32903,Pass ,
1348650900,2245992 ,TCQR-BA.934 ,33387,Pass ,
1348716120,2248074 ,TCQR-BA.934 ,36307,Pass ,
1349152080,2256523 ,TCQR-BA.936 ,32903,Pass ,
1350028800,2259969 ,TCQR-BA.936 ,33387,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=2259969
1349683080,2268908 ,TCQR-BA.933 ,29140,Pass ,
1349683860,2268945 ,TCQR-BA.935 ,29140,Pass ,
1350457320,2291795 ,TCQR-BA.936 ,33387,Pass ,
1350459000,2291883 ,TCQR-BA.936 ,36307,Pass ,
1351132920,2309474 ,TCQR-BA.935 ,32903,Pass ,
1351133400,2309490 ,TCQR-BA.933 ,32903,Pass ,
1351151820,2310327 ,TCQR-BA.935 ,33387,Pass ,
1351241760,2312855 ,TCQR-BA.935 ,36307,Pass ,
1351579380,2319164 ,TCQR-BA.933 ,33387,Pass ,
1351593540,2319951 ,TCQR-BA.933 ,36307,Pass ,
1385716080,3235043 ,TCQR-BA.936 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3235043
1385716560,3235067 ,TCQR-BA.934 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3235067
1385716620,3235070 ,TCQR-BA.935 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3235070
1385716980,3235105 ,TCQR-BA.933 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3235105
1383557400,3324309 ,TCQR-BA.934 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3324309
1385550480,3324319 ,TCQR-BA.933 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3324319
1383558000,3324367 ,TCQR-BA.936 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3324367
1385547540,3324409 ,TCQR-BA.935 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3324409
1385120700,3381299 ,TCQR-BA.934 ,29140,Pass ,
1385713440,3398682 ,TCQR-BA.934 ,36307,Pass ,
1385963160,3401784 ,TCQR-BA.933 ,29140,Pass ,
1385964360,3401803 ,TCQR-BA.936 ,29140,Pass ,
1385968560,3401812 ,TCQR-BA.935 ,29140,Completed ,/MatsTest/test_fail_log_edit.cfm?action=view&test_taken_id=3401812
1386657120,3425112 ,TCQR-BA.933 ,36307,Pass ,
1386657240,3425113 ,TCQR-BA.936 ,36307,Pass ,
1391593260,3552185 ,TCQR-BA.935 ,36307,Pass ,
